last_update,timestamp,country,abbreviation_canton,name_canton,number_canton,lat,long,tests_performed,total_currently_positive_cases,total_positive_cases,new_positive_cases,total_hospitalized,intensive_care,total_currently_positive_per_100k,released,ncumul_ICU_intub,recovered,deaths,pos_tests_1,ncumul_vent,ninst_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,doubling_time_total_positive,doubling_time_fatalities,source
2020-04-01 13:03:09,2020-04-01 01:00:00,CH,GR,Graubünden/Grigioni,01,46.656248,9.628198,,521,521,0,58,,263.26,,0,,21,,,,,,7.2023,2.766474,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020-04-01 13:03:09,2020-03-31 14:00:00,CH,JU,Jura,26,47.350744,7.156107,,127,127,0,23,4,173.26,,0,,,,,,,,13.914861,0.0,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html
2020-04-01 13:03:09,2020-04-01 09:00:00,CH,LU,Luzern,03,47.067763,8.1102,,401,401,0,,,98.65,,0,,7,,,,,,10.361588,4.090339,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020-04-01 13:03:09,2020-03-31 14:00:00,CH,NE,Neuchâtel,24,46.995534,6.780126,,366,366,0,59,14,205.62,,0,,6,,11,,,,11.532674,19.00892,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf
2020-04-01 13:03:09,2020-03-31 13:30:00,CH,NW,Nidwalden,07,46.926755,8.405302,,70,70,0,,,162.79,,0,,,,,,,,9.185764,0.0,https://www.nw.ch/gesundheitsamtdienste/6044
2020-04-01 13:03:09,2020-03-31 01:00:00,CH,OW,Obwalden,06,46.804527,8.144317000000001,6,46,46,0,,,122.34,,0,,,,,,,,5.683719,0.0,https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020-04-01 13:03:09,2020-04-01 01:00:00,CH,SG,St. Gallen,17,47.1832,9.274744,,414,414,0,,,82.03,,0,,7,,,,,,11.465284,2.766474,https://www.sg.ch/tools/informationen-coronavirus.html
2020-04-01 13:03:09,2020-04-01 05:00:00,CH,SH,Schaffhausen,14,47.71357,8.59167,,44,44,0,,,54.05,,0,,,,,,,,17.270762,0.0,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt-3209198-DE.html
2020-04-01 13:03:09,2020-04-01 01:00:00,CH,SO,Solothurn,11,47.304135,7.639388,,216,216,0,,,79.59,,0,,3,,,,,,8.12564,3.154649,https://corona.so.ch/
2020-04-01 13:03:09,2020-04-01 01:00:00,CH,SZ,Schwyz,05,47.061787,8.756585,10,146,146,0,1,,92.82,65,0,,4,,,,,,16.948762,2.5,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-01 13:03:09,2020-04-01 01:00:00,CH,TG,Thurgau,01,47.568715,9.091957,276,166,166,0,,,60.63,,0,,4,,,,,,9.907372,5.0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020-04-01 13:03:09,2020-04-01 06:00:00,CH,TI,Ticino,21,46.295617,8.808924,,2195,2195,0,396,76,620.58,229,0,,132,68,72,72.0,,,13.195884,6.277727,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187555&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=843d72993004667ab731d64142591372
2020-04-01 13:03:09,2020-03-31 01:00:00,CH,UR,Uri,04,46.771849,8.628586,85,57,57,0,9,,157.02,11,0,,,,,,,,8.547556,0.0,https://www.ur.ch/themen/2920
2020-04-01 13:03:09,2020-04-01 01:00:00,CH,VD,Vaud,22,46.570091,6.557809000000001,,3465,3465,0,390,80,436.89,225,0,,84,,,,,,11.047821,5.96852,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/
2020-04-01 13:03:09,2020-03-31 13:00:00,CH,VS,Valais/Wallis,23,46.209567,7.604659,,1085,1085,0,136,23,317.72,3,0,,35,,18,,,,8.310067,4.090339,https://www.vs.ch/documents/6756452/7008787/Sit%20Epid%20-%20%C3%89tat%20Stand%2031.03.2020.pdf
2020-04-01 13:03:09,2020-04-01 06:00:00,CH,ZG,Zug,09,47.157296,8.537294,,125,125,0,1,,99.68,40,0,,1,,,,,,7.765709,0.0,https://www.zg.ch/behoerden/gesundheitsdirektion/amt-fuer-gesundheit/corona
2020-04-01 13:03:09,2020-03-31 15:00:00,CH,ZH,Zürich,01,47.41275,8.65508,855,1960,1960,0,197,51,130.29,,0,11,25,59,51,,,,12.220131,3.392289,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
