date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident
2020-02-09,,GE,192.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-10,,GE,204.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-11,,GE,215.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-12,,GE,223.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-13,,GE,234.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-14,,GE,240.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,,,,,,,,,,,
2020-02-15,,GE,245.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,1.0,,,,,,,,,,
2020-02-16,,GE,246.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,1.0,,,,,,,,,,
2020-02-17,,GE,248.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,2.0,,,,,,,,,,
2020-02-18,,GE,255.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,2.0,,,,,,,,,,
2020-02-19,,GE,263.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,2.0,,,,,,,,,,
2020-02-20,,GE,268.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,2.0,,,,,,,,,,
2020-02-21,,GE,272.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,3.0,,,,,,,,,,
2020-02-22,,GE,273.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,3.0,,,,,,,,,,
2020-02-23,,GE,273.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,4.0,,,,,,,,,,
2020-02-24,,GE,302.0,,,,,,,,https://www.ge.ch/document/21502/telecharger,6.0,,,,,,,,,,
2020-02-25,,GE,375.0,0.0,,0.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,7.0,,,,0.0,,,,,,
2020-02-25,,TI,,0.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,,,,,,
2020-02-26,,GE,479.0,1.0,,1.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,1.0,,,,0.0,,,,,,
2020-02-26,,GR,,2.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-02-26,,TI,,1.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,,,,,,
2020-02-27,19:17,BS,,1.0,,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-positiver-fall-in-basel-stadt-zweiter-positiv-getesteter-ausserkantonaler-fall-gd.html,,,,,,,,1.0,,,
2020-02-27,,FL,3.0,,,,,,,,https://www.regierung.li/media/attachments/83-verdachtsfaelle-negativ-getestet.pdf?t=637202562374055719,,,,,,,,,,,
2020-02-27,,GE,630.0,1.0,,1.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,1.0,,,,0.0,,,,,,
2020-02-27,,GR,,2.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-02-27,,JU,,1.0,,1.0,0.0,,,0.0,https://www.jura.ch/Htdocs/Files/v/35072.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_internet_20_08.xlsx?download=1,,,,,,,,,,,
2020-02-27,,TI,,1.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,,,,,,
2020-02-27,14:30,ZH,,2.0,,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,,,,,,,,,,,
2020-02-28,15:00,AG,,1.0,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/20200228_KFS_20200106_Coronavirus_Lagebulletin_AG_Unterschrieben.pdf,,,,,,,,,,,
2020-02-28,,BE,,1.0,,,,,,,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.archiv.meldungNeu.html/portal/de/meldungen/mm/2020/02/20200229_0936_corona.html,,,,,,,,,,,
2020-02-28,,BL,,1.0,,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,,,,,,,,,,,
2020-02-28,10:15,BS,,1.0,,,,,,,https://twitter.com/BR_Sprecher/status/1233316679863631873?s=20,,,,,,,,1.0,,,
2020-02-28,,GE,840.0,5.0,0.0,2.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,1.0,,,,0.0,,,,,,
2020-02-28,,GR,,6.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-02-28,,JU,,1.0,,1.0,0.0,,,0.0,https://www.jura.ch/Htdocs/Files/v/35072.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_internet_20_08.xlsx?download=1,,,,,,,,,,,
2020-02-28,,TI,,1.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,,,,,,
2020-02-28,,VD,,,,4.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,,,,,,
2020-02-28,,VS,,1.0,6.0,6.0,0.0,0.0,0.0,0.0,https://www.vs.ch/de/web/coronavirus,,,,,,,,,,,
2020-02-28,14:30,ZH,,2.0,,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,,,,,,,,,,,
2020-02-29,,BL,,2.0,,1.0,0.0,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,,,,,,,,,,,
2020-02-29,15:23,BS,,1.0,,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1233759578241863681?s=20,,,,,,,,1.0,,,
2020-02-29,,GE,981.0,9.0,2.0,3.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,1.0,,,,0.0,,,,,,
2020-02-29,,GR,,6.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-02-29,,JU,,1.0,,1.0,0.0,,,0.0,https://www.jura.ch/Htdocs/Files/v/35072.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_internet_20_08.xlsx?download=1,,,,,,,,,,,
2020-02-29,,TI,,2.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,,,,,,
2020-02-29,,VD,,,,4.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,,,,,,
2020-02-29,,VS,,1.0,0.0,6.0,0.0,0.0,0.0,0.0,https://www.vs.ch/de/web/coronavirus,,,,,,,,,,,
2020-02-29,08:00,ZG,,0.0,,0.0,0.0,,,0.0,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/themen/gesundheit/corona,,,,,,,,,,,
2020-02-29,14:30,ZH,,6.0,,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,,,,,,,,,,,
2020-03-01,,BE,,2.0,,,,,,,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200302_1522_zweiter_bestaetigtercorona-fallinbiel,,,,,,,,,,,
2020-03-01,,BL,,2.0,,1.0,0.0,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,,,,,,,,,,,
2020-03-01,17:29,BS,,1.0,,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-anzahl-der-getesteten-faelle-und-zwischenstand-kita-riehen-gd.html,,,,,,,,1.0,,,
2020-03-01,,FL,,0.0,,,,,0.0,0.0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,,,,,,,,,,,
2020-03-01,,FR,30.0,1.0,,,,,,,https://www.fr.ch/sites/default/files/2020-03/200301_commd_dsas_covid_cas_fr.pdf,,,,,,,,,,,
2020-03-01,,GE,1083.0,10.0,0.0,3.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,1.0,,,,0.0,,,,,,
2020-03-01,,GR,,6.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-03-01,,JU,,1.0,,1.0,0.0,,,0.0,https://www.jura.ch/Htdocs/Files/v/35072.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_internet_20_08.xlsx?download=1,,,,,,,,,,,
2020-03-01,,NE,,1.0,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.xlsx,,,,,,,,,,,
2020-03-01,,TI,,2.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,,,,,,
2020-03-01,,VD,,,,4.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,,,,,,
2020-03-01,,VS,,2.0,1.0,7.0,0.0,0.0,0.0,0.0,https://www.vs.ch/de/web/coronavirus,,,,,,,,,,,
2020-03-01,08:00,ZG,,0.0,,0.0,0.0,,0.0,0.0,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/themen/gesundheit/corona,0.0,0.0,,0.0,,,,,,,
2020-03-01,14:30,ZH,,7.0,,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,,,,,,,,,,,
2020-03-02,18:00,AG,,2.0,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/200302_KFS_Coronavirus_Lagebulletin_2.pdf,,,,,,,,,,,
2020-03-02,,BE,,4.0,,,,,,,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200303_1333_mann_in_spital_interlakenpositivgetestet,,,,,,,,,,,
2020-03-02,,BL,,2.0,,1.0,0.0,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,,,,,,,,,,,
2020-03-02,17:15,BS,235.0,1.0,,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-zwei-neue-positive-faelle-in-basel-stadt-gd.html,,,,,,,,3.0,,,
2020-03-02,,FL,,0.0,,,,,0.0,0.0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,,,,,,,,,,,
2020-03-02,,FR,,2.0,,,,,,,https://www.fr.ch/sites/default/files/2020-03/200302_CommD_DSAS_covid_cas%20FR.pdf,,,,,,,,,,,
2020-03-02,,GE,1171.0,11.0,0.0,3.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,1.0,,,,0.0,,,,,,
2020-03-02,,GR,,9.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-03-02,,JU,,1.0,,1.0,0.0,,,0.0,https://www.jura.ch/Htdocs/Files/v/35072.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_internet_20_08.xlsx?download=1,,,,,,,,,,,
2020-03-02,,NE,,1.0,,1.0,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.xlsx,,,,,,,,,,,
2020-03-02,,SG,,0.0,,,,,,,https://www.sg.ch/news/sgch_allgemein/2020/03/zwei-personen-in-quarantaene---kein-bestaetigter-fall.html,,,,,,,,,,,
2020-03-02,,TI,,4.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,6.0,,,,,
2020-03-02,,VD,,,,6.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,,,,,,
2020-03-02,,VS,,3.0,3.0,10.0,0.0,0.0,0.0,0.0,https://www.vs.ch/de/web/coronavirus,,,,,,,,,,,
2020-03-02,08:00,ZG,,0.0,,0.0,0.0,,0.0,0.0,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/themen/gesundheit/corona,2.0,2.0,,2.0,,,,,,,
2020-03-02,14:30,ZH,,10.0,,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,,,,,,,,,,,
2020-03-03,15:00,AG,,6.0,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200303_KFS_Coronavirus_Lagebulletin_3.pdf,,,,,,,,,,,
2020-03-03,,BL,,2.0,,1.0,0.0,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,,,,,,,,,,,
2020-03-03,17:30,BS,,3.0,,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1234880556095213569?s=20,,,,,,,,3.0,,,
2020-03-03,,FL,14.0,1.0,,,,,0.0,0.0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,,,,,,,,,,,
2020-03-03,,GE,1278.0,14.0,0.0,4.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,3.0,,,,0.0,,,,,,
2020-03-03,,GR,,9.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-03-03,,JU,,2.0,,1.0,0.0,,,0.0,https://www.jura.ch/Htdocs/Files/v/35072.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_internet_20_08.xlsx?download=1,,,,,,,,,,,
2020-03-03,,NE,,1.0,,1.0,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.xlsx,,,,,,,,,,,
2020-03-03,,SZ,1.0,1.0,,,,,,,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf,,,,,,,,,,,
2020-03-03,,TI,,8.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,,,,,,
2020-03-03,,VD,,,,8.0,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,,,,,,
2020-03-03,,VS,,3.0,2.0,12.0,0.0,0.0,0.0,0.0,https://www.vs.ch/de/web/coronavirus,,,,,,,,,,,
2020-03-03,08:00,ZG,,1.0,,0.0,0.0,,0.0,0.0,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/themen/gesundheit/corona,2.0,2.0,,2.0,,,,,,,
2020-03-03,14:30,ZH,,13.0,,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,,,,,,,,,,,
2020-03-04,15:00,AG,,7.0,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200304_KFS_Coronavirus_Lagebulletin_4.pdf,,,,,,,,,,,
2020-03-04,,BE,,6.0,,,,,,,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200304_1443_corona-4-3-2020,,,,,,,,,,,
2020-03-04,,BL,,2.0,,1.0,0.0,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,,,,,,,,,,,
2020-03-04,17:20,BS,,3.0,,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1235240377134862336?s=20,,,,,,,,3.0,,,
2020-03-04,,FL,16.0,1.0,,,,,0.0,0.0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,,,,,,,,,,,
2020-03-04,,FR,,4.0,,,,,,,https://www.fr.ch/sites/default/files/2020-03/200304_CommD_DSAS_covid_cas%20FR.pdf,,,,,,,,,,,
2020-03-04,,GE,1384.0,16.0,0.0,4.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,3.0,,,,0.0,,,,,,
2020-03-04,,GR,,12.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-03-04,,JU,,2.0,,1.0,0.0,,,0.0,https://www.jura.ch/Htdocs/Files/v/35072.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_internet_20_08.xlsx?download=1,,,,,,,,,,,
2020-03-04,18:00,LU,,0.0,,,,,,,https://web.archive.org/web/20200304173939/https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,,,,,,,,,,,
2020-03-04,,NE,,8.0,,4.0,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.xlsx,,,,,,,,,,,
2020-03-04,06:35,SG,,1.0,,,,,,,https://www.sg.ch/news/sgch_allgemein/2020/03/erster-bestaetigter-corona-fall-im-kanton-.html,,,,,,,,,,,
2020-03-04,,SZ,3.0,3.0,,1.0,,,,,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf,,,,,,,,,,,
2020-03-04,,TI,,13.0,,0.0,0.0,0.0,0.0,0.0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,,,,,18.0,,,,,
2020-03-04,,VD,,,,11.0,1.0,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,,,,,,
2020-03-04,,VS,,4.0,1.0,13.0,0.0,0.0,0.0,0.0,https://www.vs.ch/de/web/coronavirus,,,,,,,,,,,
2020-03-04,08:00,ZG,,1.0,,0.0,0.0,,0.0,0.0,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/themen/gesundheit/corona,2.0,2.0,,2.0,,,,,,,
2020-03-04,14:30,ZH,,15.0,,,,,,,https://www.zh.ch/de/gesundheit/coronavirus.html,,,,,,,,,,,
2020-03-05,15:00,AG,,9.0,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200305_KFS_Coronavirus_Lagebulletin_5.pdf,,,,,,,,,,,
2020-03-05,,AR,,1.0,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirusersterfallinappenzellausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=fb1a9cf08108cdc7b82780b9239b009d,,,,,,,,,,,
2020-03-05,,BL,,6.0,,1.0,0.0,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,,,,,,,,,,,
2020-03-05,17:15,BS,,8.0,,1.0,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-fuenf-neue-positive-faelle-in-basel-stadt-gd.html,,,,,,,,3.0,,,
2020-03-05,,FL,18.0,1.0,,,,,0.0,0.0,https://www.llv.li/files/ag/aktuelle-fallzahlen.pdf,,,,,,,,,,,
2020-03-05,,FR,,6.0,,,,,,,https://www.fr.ch/de/covid19/gesundheit/covid-19/coronavirus-entwicklungen-der-situation,,,,,,,,,,,
2020-03-05,,GE,1447.0,20.0,1.0,5.0,0.0,0.0,,0.0,https://www.ge.ch/document/21502/telecharger,8.0,,,,0.0,,,,,,
2020-03-05,,GR,,14.0,,0.0,0.0,0.0,,0.0,https://services1.arcgis.com/YAuo6vcW85VPu7OE/arcgis/rest/services/Fallzahlen_Total_Kanton/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=none&outFields=*&returnHiddenFields=false&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&cacheHint=false&orderByFields=Eingangs_Datum&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=standard&f=pjson,0.0,0.0,,,,,,,,,
2020-03-05,,JU,,4.0,,2.0,0.0,,,0.0,https://www.jura.ch/Htdocs/Files/v/35072.xlsx/Departements/CHA/SIC/Carrousel/Coronavirus/Cornavirus/Chiffres/donnees_internet_20_08.xlsx?download=1,,,,,,,,,,,
2020-03-05,,NE,,9.0,,4.0,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.xlsx,,,,,,,,,,,
