date,time,abbreviation_canton,tests_performed,total_positive_cases,total_hospitalized,intensive_care,ncumul_vent,released,deaths,source,pos_tests_1,recovered,ncumul_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,lat,long,name_canton,number_canton,total_currently_positive_per_100k
2020-03-04,00:00,TI,,5.0,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187371&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=174f2d754f3b657af79f343c92fc5c89,18.0,,,,,46.295617,8.808924,Ticino,21,1.41
2020-03-04,00:00,VD,,,11.0,1.0,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,
2020-03-04,00:00,VS,,4.0,6.0,,,,,https://www.vs.ch/documents/6756452/7008787/Sit%20Epid%20-%20%C3%89tat%20Stand%2025.03.2020.pdf,,,,,,46.209567,7.604659,Valais,23,1.17
2020-03-05,15:00,AG,,9.0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200305_KFS_Coronavirus_Lagebulletin_5.pdf,,,,,,47.40966,8.15688,Aargau,01,1.34
2020-03-05,00:00,AR,,1.0,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirusersterfallinappenzellausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=fb1a9cf08108cdc7b82780b9239b009d,,,,,,47.416351999999996,9.36791,Appenzell Ausserrhoden,15,1.81
2020-03-05,00:00,BL,,6.0,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/neuer-coronavirus-covid-19-sechs-bestaetigte-faelle-im-kanton-basel-landschaft,,,,,,47.45176,7.702414,Basel-Landschaft,13,2.09
2020-03-05,17:15,BS,235.0,8.0,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-fuenf-neue-positive-faelle-in-basel-stadt-gd.html,,,,,,47.564869,7.615259,Basel-Stadt,12,4.13
2020-03-05,00:00,FL,18.0,1.0,,,,,,https://www.regierung.li/media/attachments/100-coronavirus-18-verdachtsfaelle-0305.pdf?t=637202562374055719,,,,,,47.166667,9.509722,Fürstentum Lichtenstein,00,2.59
2020-03-05,00:00,FR,30.0,6.0,,,,,,https://www.fr.ch/de/covid19/gesundheit/covid-19/coronavirus-entwicklungen-der-situation,,,,,,46.718391,7.074008,Fribourg,10,1.9
2020-03-05,00:00,GE,,13.0,5.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,2.63
2020-03-05,00:00,JU,,2.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html,,,,,,47.350744,7.156107,Jura,26,2.73
2020-03-05,00:00,TI,,5.0,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187385&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=a9ddddfae2c7446e5b856451e178a61a,18.0,,,,,46.295617,8.808924,Ticino,21,1.41
2020-03-05,00:00,VD,,,14.0,1.0,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,
2020-03-05,00:00,VS,,5.0,3.0,,,,,https://www.vs.ch/de/web/coronavirus/info?p_p_id=com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_delta=5&p_r_p_resetCur=false&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_cur=5#collapse6812036,,,,,,46.209567,7.604659,Valais,23,1.46
2020-03-05,00:00,ZG,,3.0,,,,,,https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-sars-cov-2-zwei-weitere-faelle-im-kanton-zug,,,,,,47.157296,8.537294,Zug,09,2.39
2020-03-05,00:00,ZH,400.0,19.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,26.0,,,,,47.41275,8.65508,Zürich,01,1.26
2020-03-06,15:00,AG,,12.0,,,,1.0,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200305_KFS_Coronavirus_Lagebulletin_6.pdf,,,,,,47.40966,8.15688,Aargau,01,1.79
2020-03-06,00:00,BL,,6.0,,,,,,,,,,,,47.45176,7.702414,Basel-Landschaft,13,2.09
2020-03-06,14:00,BS,235.0,15.0,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1235934884167852035?s=20,,,,,,47.564869,7.615259,Basel-Stadt,12,7.74
2020-03-06,00:00,FL,22.0,1.0,,,,,,https://www.regierung.li/media/attachments/104-coronavirus-vorsicht.pdf?t=637202562374055719,,,,,,47.166667,9.509722,Fürstentum Lichtenstein,00,2.59
2020-03-06,00:00,GE,,17.0,7.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,3.43
2020-03-06,00:00,JU,,3.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html,,,,,,47.350744,7.156107,Jura,26,4.09
2020-03-06,15:38,SG,,2.0,,,,,,https://www.sg.ch/news/sgch_allgemein/2020/03/zweiter-bestaetigter-fall-einer-corona-patientin.html,,,,,,47.1832,9.274744,St. Gallen,17,0.4
2020-03-06,12:00,SO,,1.0,,,,,,https://so.ch/startseite/aktuell/news/erster-laborbestaetigter-covid-19-fall-im-kanton-solothurn/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=3074bbdc8f0fcdcb9f1e11a21fc05e73,,,,,,47.304135,7.639388,Solothurn,11,0.37
2020-03-06,00:00,SZ,6.0,6.0,1.0,,,,,https://www.sz.ch/public/upload/assets/45417/MM_Coronavirus_6_3_2020.pdf,,,,,,47.061787,8.756585,Schwyz,05,3.81
2020-03-06,00:00,TI,,5.0,,,,,,,45.0,,,,,46.295617,8.808924,Ticino,21,1.41
2020-03-06,00:00,VD,,23.0,15.0,2.0,,,1.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,2.9
2020-03-06,00:00,VS,,6.0,3.0,,,,,https://www.vs.ch/de/web/coronavirus/info?p_p_id=com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_delta=5&p_r_p_resetCur=false&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_cur=5#collapse6828733,,,,,,46.209567,7.604659,Valais,23,1.76
2020-03-06,00:00,ZH,400.0,26.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,30.0,,,,,47.41275,8.65508,Zürich,01,1.73
2020-03-07,00:00,BL,,15.0,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-15-bestaetigte-faelle-in-basel-landschaft,,,,,,47.45176,7.702414,Basel-Landschaft,13,5.23
2020-03-07,12:00,BS,235.0,21.0,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236249864473894914?s=20,,,,,,47.564869,7.615259,Basel-Stadt,12,10.83
2020-03-07,00:00,GE,,26.0,7.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,5.25
2020-03-07,00:00,JU,,4.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html,,,,,,47.350744,7.156107,Jura,26,5.46
2020-03-07,00:00,TI,,5.0,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187406&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=e553d0b42db2ead87a7d05e499fac4db,58.0,,,,,46.295617,8.808924,Ticino,21,1.41
2020-03-07,00:00,VD,,30.0,16.0,4.0,,,1.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,3.78
2020-03-07,00:00,ZH,400.0,30.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,37.0,,,,,47.41275,8.65508,Zürich,01,1.99
2020-03-08,00:00,BL,,19.0,,,,,1.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/patient-im-kantonsspital-baselland-stirbt-an-den-folgen-einer-coronavirus-infektion,,,,,,47.45176,7.702414,Basel-Landschaft,13,6.62
2020-03-08,12:00,BS,235.0,24.0,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236609191831384064?s=20,,,,,,47.564869,7.615259,Basel-Stadt,12,12.38
2020-03-08,00:00,FR,30.0,8.0,,,,,,https://www.fr.ch/de/covid19/gesundheit/covid-19/coronavirus-entwicklungen-der-situation,,,,,,46.718391,7.074008,Fribourg,10,2.54
2020-03-08,00:00,GE,,35.0,9.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,7.07
2020-03-08,00:00,JU,,4.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html,,,,,,47.350744,7.156107,Jura,26,5.46
2020-03-08,00:00,TI,,5.0,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187407&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=8d1ff4bf2a674892913340827de952ea,68.0,,,,,46.295617,8.808924,Ticino,21,1.41
2020-03-08,00:00,VD,,40.0,22.0,3.0,,,1.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,,,46.570091,6.557809000000001,Vaud,22,5.04
2020-03-08,00:00,VS,,7.0,3.0,,,,,https://www.vs.ch/de/web/coronavirus/info?p_p_id=com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_delta=5&p_r_p_resetCur=false&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_cur=4,,,,,,46.209567,7.604659,Valais,23,2.05
2020-03-08,00:00,ZH,400.0,37.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,40.0,,,,,47.41275,8.65508,Zürich,01,2.46
2020-03-09,15:00,AG,,14.0,,,,2.0,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200309_KFS_Coronavirus_Lagebulletin_7.pdf,,,,,,47.40966,8.15688,Aargau,01,2.09
2020-03-09,00:00,AR,,2.0,,,,,,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/zweiter-coronafall-in-appenzell-ausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=de7ec38198b5e60b6dce8fccc7735501,,,,,,47.416351999999996,9.36791,Appenzell Ausserrhoden,15,3.62
2020-03-09,00:00,BL,,20.0,,,,,1.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-xx-bestaetigte-faelle-in-basel-landschaft,,,,,,47.45176,7.702414,Basel-Landschaft,13,6.97
2020-03-09,12:00,BS,235.0,28.0,,,,,,https://twitter.com/BAG_OFSP_UFSP/status/1236973685602426881?s=20,,,,,,47.564869,7.615259,Basel-Stadt,12,14.44
2020-03-09,00:00,FL,24.0,1.0,,,,,,https://www.regierung.li/media/attachments/106-coronavirus-anpassung-massnahmen.pdf?t=637202562374055719,,,,,,47.166667,9.509722,Fürstentum Lichtenstein,00,2.59
2020-03-09,00:00,FR,30.0,11.0,,,,,,https://www.fr.ch/de/covid19/gesundheit/covid-19/coronavirus-entwicklungen-der-situation,,,,,,46.718391,7.074008,Fribourg,10,3.49
2020-03-09,00:00,GE,,44.0,13.0,3.0,1.0,,1.0,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,,,0.0,0.0,,46.220528,6.132935,Genève,25,8.89
2020-03-09,00:00,JU,,5.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html,,,,,,47.350744,7.156107,Jura,26,6.82
2020-03-09,00:00,TI,,5.0,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187417&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=20e9b76118246e98781581881b459523,68.0,,,,,46.295617,8.808924,Ticino,21,1.41
