,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
545,2020-06-23 04:04:44,2020-03-26 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,111,111,0,,,40.54,0.365,,0,1,,,,,,,,,14,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,5.200068,0.0
572,2020-06-23 04:04:44,2020-03-27 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,118,118,0,,,43.1,0.73,,0,2,,,,,,,,,7,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552 & email der Staatskanzlei des Kanton Thurgau,7.877545,0.0
597,2020-06-23 04:04:44,2020-03-28 02:00:00,276,TG,Thurgau,01,47.568715,9.091957,135,135,0,,,49.31,0.73,,0,2,,,,,,,,,17,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,6.951554,0.0
621,2020-06-23 04:04:44,2020-03-29 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,139,139,0,,,50.77,0.73,,0,2,,,,,,,,,4,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,7.581392,5.0
647,2020-06-23 04:04:44,2020-03-30 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,149,149,0,,,54.42,0.73,,0,2,,,,,,,,,10,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,8.074209,5.0
674,2020-06-23 04:04:44,2020-03-31 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,155,155,0,,,56.61,1.096,,0,3,,,,,,,,,6,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,10.379721,3.154649
700,2020-06-23 04:04:44,2020-04-01 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,167,167,0,,,60.99,1.461,,0,4,,,,,,,,,12,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,9.97882,5.0
727,2020-06-23 04:04:44,2020-04-02 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,180,180,0,,,65.74,1.461,,0,4,,,,,,,,,13,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,12.047104,5.0
754,2020-06-23 04:04:44,2020-04-03 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,199,199,0,,,72.68,1.826,,0,5,,,,,,,,,19,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,9.65841,3.782354
779,2020-06-23 04:04:44,2020-04-04 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,209,209,0,,,76.33,1.826,,0,5,,,,,,,,,10,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,10.241901,3.782354
803,2020-06-23 04:04:44,2020-04-05 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,214,214,0,,,78.16,2.557,,0,7,,,,,,,,,5,2,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,10.744772,4.090339
829,2020-06-23 04:04:44,2020-04-06 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,220,220,0,31,14,80.35,2.557,,0,7,,,,,,,,,6,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,12.5737,6.193063
856,2020-06-23 04:04:44,2020-04-07 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,222,222,-1,30,13,81.08,2.922,,0,8,,,,,,,,,2,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,16.525497,5.0
882,2020-06-23 04:04:44,2020-04-08 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,237,237,-3,27,15,86.56,2.922,,0,8,,,,,,,,,15,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,19.831934,7.373849
908,2020-06-23 04:04:44,2020-04-09 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,256,256,-3,24,12,93.5,2.922,,0,8,,,,,,,,,19,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,17.085789,7.373849
933,2020-06-23 04:04:44,2020-04-10 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,265,265,5,29,13,96.79,2.922,,0,8,,,,,,,,,9,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,16.21368,25.954465
959,2020-06-23 04:04:44,2020-04-11 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,275,275,0,29,14,100.44,2.922,,0,8,,,,,,,,,10,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,15.531419,25.954465
983,2020-06-23 04:04:44,2020-04-12 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,286,286,0,29,14,104.46,2.922,,0,8,,,,,,,,,11,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,13.681557,
1009,2020-06-23 04:04:44,2020-04-13 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,293,293,0,29,17,107.01,2.922,,0,8,,,,,,,,,7,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,16.339143,
1035,2020-06-23 04:04:44,2020-04-14 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,297,297,3,32,16,108.47,3.652,,0,10,,,,,,,,,4,2,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,23.329696,15.531419
1062,2020-06-23 04:04:44,2020-04-15 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,303,303,-7,25,14,110.66,4.018,,0,11,,,,,,,,,6,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,25.863126,10.883012
1089,2020-06-23 04:04:44,2020-04-16 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,309,309,-1,24,14,112.86,4.018,,0,11,,,,,,,,,6,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,29.730896,10.883012
1116,2020-06-23 04:04:44,2020-04-17 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,322,322,-2,22,13,117.6,4.383,,0,12,,,,,,,,,13,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,29.231981,8.547556
1140,2020-06-23 04:04:44,2020-04-18 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,333,333,-4,18,12,121.62,4.748,,0,13,,,,,,,,,11,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,27.082434,7.138373
1165,2020-06-23 04:04:44,2020-04-19 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,334,334,0,18,12,121.99,4.748,,0,13,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,29.518522,13.209634
1192,2020-06-23 04:04:44,2020-04-20 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,336,336,1,19,12,122.72,4.748,,0,13,,,,,,,,,2,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,33.524773,20.746191
1219,2020-06-23 04:04:44,2020-04-21 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,340,340,0,19,12,124.18,4.748,,0,13,,,,,,,,,4,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,36.250822,20.746191
1246,2020-06-23 04:04:44,2020-04-22 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,341,341,-1,18,9,124.54,5.113,,0,14,,,,,,,,,1,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,60.451414,22.482781
1273,2020-06-23 04:04:44,2020-04-23 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,354,354,-2,16,9,129.29,5.113,,0,14,,,,,,,,,13,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,56.671876,46.766033
1300,2020-06-23 04:04:44,2020-04-24 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,359,359,0,16,9,131.12,5.113,,0,14,,,,,,,,,5,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,48.014255,46.766033
1324,2020-06-23 04:04:44,2020-04-25 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,360,360,2,18,8,131.48,5.113,,0,14,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,50.233246,46.766033
1347,2020-06-23 04:04:44,2020-04-26 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,361,361,-2,16,8,131.85,5.844,,0,16,,,,,,,,,1,2,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,57.827474,16.691131
1374,2020-06-23 04:04:44,2020-04-27 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,361,361,0,16,8,131.85,6.209,,0,17,,,,,,,,,0,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,60.807205,17.850263
1401,2020-06-23 04:04:44,2020-04-28 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,362,362,0,16,8,132.21,6.209,,0,17,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,155.085228,17.850263
1428,2020-06-23 04:04:44,2020-04-29 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,363,363,-6,10,7,132.58,6.209,,0,17,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,312.779465,17.850263
1455,2020-06-23 04:04:44,2020-04-30 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,365,365,-1,9,6,133.31,6.209,,0,17,,,,,,,,,2,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,251.261869,17.850263
1482,2020-06-23 04:04:44,2020-05-01 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,367,367,0,9,6,134.04,6.209,,0,17,,,,,,,,,2,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,210.249884,57.167134
1506,2020-06-23 04:04:44,2020-05-02 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,368,368,0,9,5,134.4,6.209,,0,17,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,180.460273,
1530,2020-06-23 04:04:44,2020-05-03 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,368,368,0,9,5,134.4,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,210.82752,
1557,2020-06-23 04:04:44,2020-05-04 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,372,372,0,9,5,135.87,6.209,,0,17,,,,,,,,,4,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,141.510476,
1584,2020-06-23 04:04:44,2020-05-05 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,373,373,2,11,6,136.23,6.209,,0,17,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,159.850807,
1611,2020-06-23 04:04:44,2020-05-06 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,374,374,-1,10,6,136.6,6.209,,0,17,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,183.430994,
1637,2020-06-23 04:04:44,2020-05-07 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,374,374,2,12,6,136.6,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,214.293332,
1663,2020-06-23 04:04:44,2020-05-08 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,374,374,-3,9,5,136.6,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,214.293332,
1686,2020-06-23 04:04:44,2020-05-09 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,376,376,-1,8,5,137.33,6.209,,0,17,,,,,,,,,2,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,324.043218,
1707,2020-06-23 04:04:44,2020-05-10 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,376,376,0,8,5,137.33,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,432.637052,
1734,2020-06-23 04:04:44,2020-05-11 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,376,376,0,8,5,137.33,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,649.823941,
1761,2020-06-23 04:04:44,2020-05-12 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,376,376,1,9,5,137.33,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,649.823941,
1786,2020-06-23 04:04:44,2020-05-13 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,376,376,-2,7,4,137.33,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,649.823941,
1812,2020-06-23 04:04:44,2020-05-14 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,378,378,0,7,4,138.06,6.209,,0,17,,,,,,,,,2,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,653.289686,
1838,2020-06-23 04:04:44,2020-05-15 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,379,379,0,7,4,138.42,6.209,,0,17,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,436.102806,
1858,2020-06-23 04:04:44,2020-05-16 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,379,379,0,7,4,138.42,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,436.102806,
1878,2020-06-23 04:04:44,2020-05-17 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,379,379,0,7,4,138.42,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,436.102806,
1904,2020-06-23 04:04:44,2020-05-18 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,379,379,-1,6,4,138.42,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,436.102806,
1929,2020-06-23 04:04:44,2020-05-19 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,379,379,0,6,4,138.42,6.209,,0,17,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1311.780276,
1956,2020-06-23 04:04:44,2020-05-20 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,379,379,0,6,4,138.42,6.574,,0,18,,,,,,,,,0,1,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,60.633871
1978,2020-06-23 04:04:44,2020-05-21 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,379,379,0,6,4,138.42,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,60.633871
2001,2020-06-23 04:04:44,2020-05-22 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,379,379,0,6,4,138.42,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,60.633871
2020,2020-06-23 04:04:44,2020-05-23 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,380,380,0,6,3,138.79,6.574,,0,18,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1315.246014,60.633871
2040,2020-06-23 04:04:44,2020-05-24 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,380,380,-1,5,2,138.79,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1315.246014,60.633871
2067,2020-06-23 04:04:44,2020-05-25 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,380,380,0,5,2,138.79,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1315.246014,
2092,2020-06-23 04:04:44,2020-05-26 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,380,380,0,5,2,138.79,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1315.246014,
2119,2020-06-23 04:04:44,2020-05-27 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,380,380,-1,4,2,138.79,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1315.246014,
2145,2020-06-23 04:04:44,2020-05-28 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,380,380,0,4,1,138.79,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2171,2020-06-23 04:04:44,2020-05-29 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,381,381,-1,3,1,139.15,6.574,,0,18,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1318.711752,
2190,2020-06-23 04:04:44,2020-05-30 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,-2,1,0,139.88,6.574,,0,18,,,,,,,,,2,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,440.723811,
2209,2020-06-23 04:04:44,2020-05-31 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,0,1,0,139.88,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,440.723811,
2229,2020-06-23 04:04:44,2020-06-01 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,0,1,0,139.88,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,440.723811,
2254,2020-06-23 04:04:44,2020-06-02 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,0,1,0,139.88,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,440.723811,
2281,2020-06-23 04:04:44,2020-06-03 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,0,1,0,139.88,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,661.954045,
2305,2020-06-23 04:04:44,2020-06-04 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,0,1,0,139.88,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2329,2020-06-23 04:04:44,2020-06-05 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,0,1,0,139.88,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2347,2020-06-23 04:04:44,2020-06-06 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,0,1,0,139.88,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2366,2020-06-23 04:04:44,2020-06-07 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,383,383,0,1,0,139.88,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2391,2020-06-23 04:04:44,2020-06-08 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1329.108966,
2415,2020-06-23 04:04:44,2020-06-09 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1329.108966,
2439,2020-06-23 04:04:44,2020-06-10 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1329.108966,
2460,2020-06-23 04:04:44,2020-06-11 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1329.108966,
2481,2020-06-23 04:04:44,2020-06-12 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1329.108966,
2500,2020-06-23 04:04:44,2020-06-13 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2521,2020-06-23 04:04:44,2020-06-14 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2545,2020-06-23 04:04:44,2020-06-15 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2569,2020-06-23 04:04:44,2020-06-16 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,384,384,0,1,0,140.25,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
2593,2020-06-23 04:04:44,2020-06-17 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,385,385,0,1,0,140.61,6.574,,0,18,,,,,,,,,1,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1332.574703,
2615,2020-06-23 04:04:44,2020-06-18 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,385,385,-1,0,0,140.61,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1332.574703,
2636,2020-06-23 04:04:44,2020-06-19 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,385,385,0,0,0,140.61,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1332.574703,
2652,2020-06-23 04:04:44,2020-06-20 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,385,385,0,0,0,140.61,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1332.574703,
2668,2020-06-23 04:04:44,2020-06-21 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,385,385,0,0,0,140.61,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,1332.574703,
2688,2020-06-23 04:04:44,2020-06-22 01:00:00,276,TG,Thurgau,01,47.568715,9.091957,385,385,0,0,0,140.61,6.574,,0,18,,,,,,,,,0,0,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,
