,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,ncumul_confirmed_non_resident,current_hosp_non_resident,current_quarantined_riskareatravel,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
718,2020-07-23 12:06:14,2020-04-01 06:00:00,,TI,Ticino,21,46.295617,8.808924,2195,2195,-5,396,76,620.58,37.32,229,0,132,72,,,,,,,,72.0,104,12,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,13.195884,6.277727
745,2020-07-23 12:06:14,2020-04-02 06:00:00,,TI,Ticino,21,46.295617,8.808924,2271,2271,-22,374,75,642.07,39.864,263,0,141,73,,,,,,,,73.0,76,9,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,12.656317,7.177639
772,2020-07-23 12:06:14,2020-04-03 06:00:00,,TI,Ticino,21,46.295617,8.808924,2377,2377,-4,370,75,672.04,43.822,287,0,155,67,,,,,,,,67.0,106,14,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,13.448442,6.784577
797,2020-07-23 12:06:14,2020-04-04 06:00:00,,TI,Ticino,21,46.295617,8.808924,2442,2442,-7,363,72,690.42,46.65,314,0,165,67,,,,,,,,67.0,65,10,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,15.835907,7.66781
821,2020-07-23 12:06:14,2020-04-05 06:00:00,,TI,Ticino,21,46.295617,8.808924,2508,2508,-1,362,74,709.08,50.042,340,0,177,61,,,,,,,,61.0,66,12,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,19.058925,8.917187
848,2020-07-23 12:06:14,2020-04-06 06:00:00,,TI,Ticino,21,46.295617,8.808924,2546,2546,-5,357,72,719.82,53.435,350,0,189,62,,,,,,,,62.0,38,12,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,23.363233,9.655337
875,2020-07-23 12:06:14,2020-04-07 06:00:00,,TI,Ticino,21,46.295617,8.808924,2599,2599,-22,335,72,734.8,55.98,388,0,198,65,,,,,,,,,53,9,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,25.689912,10.208138
902,2020-07-23 12:06:14,2020-04-08 06:00:00,,TI,Ticino,21,46.295617,8.808924,2659,2659,-16,319,71,751.77,59.655,420,0,211,64,,,,,,,,,60,13,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,30.913454,11.236592
929,2020-07-23 12:06:14,2020-04-09 06:00:00,,TI,Ticino,21,46.295617,8.808924,2714,2714,-18,301,72,767.32,61.917,447,0,219,68,,,,,,,,,55,8,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,32.817546,12.240956
954,2020-07-23 12:06:14,2020-04-10 06:00:00,,TI,Ticino,21,46.295617,8.808924,2776,2776,-4,297,68,784.85,64.179,466,0,227,62,,,,,,,,,62,8,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,34.136632,13.929791
980,2020-07-23 12:06:14,2020-04-11 06:00:00,,TI,Ticino,21,46.295617,8.808924,2818,2818,-15,282,68,796.72,64.744,493,0,229,59,,,,,,,,,42,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,34.143865,18.05306
1004,2020-07-23 12:06:14,2020-04-12 06:00:00,,TI,Ticino,21,46.295617,8.808924,2869,2869,-13,269,63,811.14,68.985,511,0,244,56,,,,,,,,,51,15,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,35.065244,16.590312
1030,2020-07-23 12:06:14,2020-04-13 06:00:00,,TI,Ticino,21,46.295617,8.808924,2900,2900,5,274,63,819.9,70.964,517,0,251,55,,,,,,,,,31,7,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,39.945954,19.964514
1057,2020-07-23 12:06:14,2020-04-14 06:00:00,,TI,Ticino,21,46.295617,8.808924,2912,2912,0,274,63,823.3,72.943,524,0,258,54,,,,,,,,,12,7,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,49.21762,21.146997
1084,2020-07-23 12:06:14,2020-04-15 06:00:00,,TI,Ticino,21,46.295617,8.808924,2927,2927,-9,265,60,827.54,74.357,548,0,263,50,,,,,,,,,15,5,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,65.432027,23.543759
1111,2020-07-23 12:06:14,2020-04-16 06:00:00,,TI,Ticino,21,46.295617,8.808924,2953,2953,-16,249,59,834.89,76.053,568,0,269,49,,,,,,,,,26,6,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,74.063382,21.527731
1138,2020-07-23 12:06:14,2020-04-17 06:00:00,,TI,Ticino,21,46.295617,8.808924,2977,2977,5,254,57,841.67,76.336,580,0,270,44,,,,,,,,,24,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,93.788828,34.228228
1162,2020-07-23 12:06:14,2020-04-18 06:00:00,,TI,Ticino,21,46.295617,8.808924,2994,2994,-10,244,56,846.48,78.315,606,0,277,42,,,,,,,,,17,7,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,108.645295,35.162087
1187,2020-07-23 12:06:14,2020-04-19 06:00:00,,TI,Ticino,21,46.295617,8.808924,3032,3032,-7,237,54,857.22,79.446,616,0,281,42,,,,,,,,,38,4,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,85.823063,40.584724
1214,2020-07-23 12:06:14,2020-04-20 06:00:00,,TI,Ticino,21,46.295617,8.808924,3058,3058,0,237,55,864.57,81.425,621,0,288,42,,,,,,,,,26,7,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,79.156933,38.166187
1241,2020-07-23 12:06:14,2020-04-21 06:00:00,,TI,Ticino,21,46.295617,8.808924,3065,3065,-1,236,54,866.55,82.273,639,0,291,36,,,,,,,,,7,3,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,93.099957,44.086664
1268,2020-07-23 12:06:14,2020-04-22 06:00:00,,TI,Ticino,21,46.295617,8.808924,3089,3089,-23,213,42,873.34,83.404,661,0,295,32,,,,,,,,,24,4,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,93.8427,39.137244
1295,2020-07-23 12:06:14,2020-04-23 06:00:00,,TI,Ticino,21,46.295617,8.808924,3106,3106,2,215,41,878.15,84.252,676,0,298,32,,,,,,,,,17,3,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,94.368809,47.426472
1322,2020-07-23 12:06:14,2020-04-24 06:00:00,,TI,Ticino,21,46.295617,8.808924,3121,3121,-1,214,42,882.39,84.535,682,0,299,33,,,,,,,,,15,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,119.793178,55.818925
1346,2020-07-23 12:06:14,2020-04-25 06:00:00,,TI,Ticino,21,46.295617,8.808924,3142,3142,-16,198,40,888.32,85.949,698,0,304,30,,,,,,,,,21,5,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,127.894332,64.1005
1369,2020-07-23 12:06:14,2020-04-26 06:00:00,,TI,Ticino,21,46.295617,8.808924,3161,3161,-6,192,37,893.7,86.514,704,0,306,26,,,,,,,,,19,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,112.3748,68.953629
1396,2020-07-23 12:06:14,2020-04-27 06:00:00,,TI,Ticino,21,46.295617,8.808924,3169,3169,-4,188,34,895.96,87.928,709,0,311,25,,,,,,,,,8,5,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,135.546211,65.61712
1423,2020-07-23 12:06:14,2020-04-28 06:00:00,,TI,Ticino,21,46.295617,8.808924,3176,3176,-2,186,30,897.94,89.341,712,0,316,22,,,,,,,,,7,5,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,155.506084,59.093114
1450,2020-07-23 12:06:14,2020-04-29 06:00:00,,TI,Ticino,21,46.295617,8.808924,3191,3191,-14,172,29,902.18,89.907,728,0,318,21,,,,,,,,,15,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,156.248773,56.254815
1477,2020-07-23 12:06:14,2020-04-30 06:00:00,,TI,Ticino,21,46.295617,8.808924,3210,3210,-10,162,30,907.55,90.755,739,0,321,23,,,,,,,,,19,3,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,161.86407,63.692666
1504,2020-07-23 12:06:14,2020-05-01 06:00:00,,TI,Ticino,21,46.295617,8.808924,3218,3218,-20,142,25,909.81,91.038,764,0,322,20,,,,,,,,,8,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,193.924043,68.000348
1528,2020-07-23 12:06:14,2020-05-02 06:00:00,,TI,Ticino,21,46.295617,8.808924,3225,3225,-8,134,23,911.79,91.32,774,0,323,16,,,,,,,,,7,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,197.851328,91.542256
1552,2020-07-23 12:06:14,2020-05-03 06:00:00,,TI,Ticino,21,46.295617,8.808924,3235,3235,-2,132,23,914.62,91.603,779,0,324,16,,,,,,,,,10,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,188.289878,138.622216
1579,2020-07-23 12:06:14,2020-05-04 06:00:00,,TI,Ticino,21,46.295617,8.808924,3238,3238,-3,129,22,915.47,92.169,782,0,326,15,,,,,,,,,3,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,237.029991,139.488694
1606,2020-07-23 12:06:14,2020-05-05 06:00:00,,TI,Ticino,21,46.295617,8.808924,3239,3239,-12,117,20,915.75,93.017,794,0,329,14,,,,,,,,,1,3,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,385.351382,140.788412
1633,2020-07-23 12:06:14,2020-05-06 06:00:00,,TI,Ticino,21,46.295617,8.808924,3245,3245,-8,109,15,917.44,93.582,802,0,331,11,,,,,,,,,6,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,414.79483,125.721235
1659,2020-07-23 12:06:14,2020-05-07 06:00:00,,TI,Ticino,21,46.295617,8.808924,3253,3253,-2,107,13,919.71,93.865,809,0,332,12,,,,,,,,,8,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,400.908882,126.106341
1685,2020-07-23 12:06:14,2020-05-08 06:00:00,,TI,Ticino,21,46.295617,8.808924,3257,3257,-15,92,13,920.84,94.43,829,0,334,11,,,,,,,,,4,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,511.351622,114.013932
1708,2020-07-23 12:06:14,2020-05-09 06:00:00,,TI,Ticino,21,46.295617,8.808924,3260,3260,-11,81,12,921.69,95.561,843,0,338,10,,,,,,,,,3,4,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,511.824224,95.87492
1729,2020-07-23 12:06:14,2020-05-10 06:00:00,,TI,Ticino,21,46.295617,8.808924,3265,3265,-4,77,10,923.1,96.127,847,0,340,9,,,,,,,,,5,2,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,433.481274,105.38038
1756,2020-07-23 12:06:14,2020-05-11 06:00:00,,TI,Ticino,21,46.295617,8.808924,3268,3268,3,80,10,923.95,96.127,847,0,340,8,,,,,,,,,3,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,490.700959,129.187185
1783,2020-07-23 12:06:14,2020-05-12 06:00:00,,TI,Ticino,21,46.295617,8.808924,3268,3268,-1,79,9,923.95,96.127,849,0,340,7,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,753.334132,145.554031
1808,2020-07-23 12:06:14,2020-05-13 06:00:00,,TI,Ticino,21,46.295617,8.808924,3272,3272,-3,76,9,925.08,96.409,851,0,341,7,,,,,,,,,4,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,754.25833,167.091991
1834,2020-07-23 12:06:14,2020-05-14 06:00:00,,TI,Ticino,21,46.295617,8.808924,3272,3272,-5,71,9,925.08,96.409,857,0,341,7,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,943.256727,392.203228
