,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,ndiff_tests_total,current_hosp_resident,ndiff_tests_positive,ndiff_tests_negative,tests_positivity_rate,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
795,2020-08-30 07:04:29,2020-04-04 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,168,168,0,1,,106.8,3.179,92,0,5,,,,,,,,,,,,,,,,3,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,15.847769,3.782354
819,2020-08-30 07:04:29,2020-04-05 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,170,170,0,1,,108.07,3.179,93,0,5,,,,,,,,,,,,,,,,2,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,17.850263,15.531419
846,2020-08-30 07:04:29,2020-04-06 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,178,178,0,1,,113.16,3.814,93,0,6,,,,,,,,,,,,,,,,8,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,17.48809,8.547556
873,2020-08-30 07:04:29,2020-04-07 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,185,185,0,1,,117.61,4.45,105,0,7,,,,,,,,,,,,,,,,7,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,19.588097,6.193063
900,2020-08-30 07:04:29,2020-04-08 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,196,196,0,1,,124.6,4.45,107,0,7,,,,,,,,,,,,,,,,11,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,20.129827,6.193063
927,2020-08-30 07:04:29,2020-04-09 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,213,213,0,1,,135.41,5.722,113,0,9,,,,,,,,,,,,,,,,17,2,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,14.603137,5.896248
952,2020-08-30 07:04:29,2020-04-10 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,215,215,0,1,,136.68,6.357,118,0,10,,,,,,,,,,,,,,,,2,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,14.757886,5.0
978,2020-08-30 07:04:29,2020-04-11 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,249,249,0,1,,158.3,6.357,118,0,10,,,,,,,,,,,,,,,,34,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,10.324851,6.784577
1002,2020-08-30 07:04:29,2020-04-12 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,251,251,0,1,,159.57,6.993,119,0,11,,,,,,,,,,,,,,,,2,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,11.359452,7.66781
1028,2020-08-30 07:04:29,2020-04-13 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,251,251,0,1,,159.57,7.629,128,0,12,,,,,,,,,,,,,,,,0,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,14.012129,6.429978
1055,2020-08-30 07:04:29,2020-04-14 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,258,258,0,1,,164.02,8.264,128,0,13,,,,,,,,,,,,,,,,7,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,18.082029,9.424809
1082,2020-08-30 07:04:29,2020-04-15 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,261,261,0,1,,165.92,8.264,144,0,13,,,,,,,,,,,,,,,,3,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,17.875456,13.209634
1109,2020-08-30 07:04:29,2020-04-16 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,265,265,0,1,,168.47,8.9,154,0,14,,,,,,,,,,,,,,,,4,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,55.650398,10.300214
1136,2020-08-30 07:04:29,2020-04-17 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,266,266,0,1,,169.1,8.9,161,0,14,,,,,,,,,,,,,,,,1,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,59.709419,14.370983
1160,2020-08-30 07:04:29,2020-04-18 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,266,266,0,1,,169.1,8.9,176,0,14,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,59.709419,22.482781
1185,2020-08-30 07:04:29,2020-04-19 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,268,268,0,1,,170.38,9.536,180,0,15,,,,,,,,,,,,,,,,2,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,91.137872,24.218836
1212,2020-08-30 07:04:29,2020-04-20 01:00:00,10,SZ,Schwyz,05,47.061787,8.756585,272,272,0,1,,172.92,9.536,180,0,15,,,,,,,,,,,,,,,,4,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,83.953407,24.218836
1239,2020-08-30 07:04:29,2020-04-21 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,276,276,0,1,,175.46,10.172,192,0,16,,,,,,,,,,,,,,,,4,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,85.213851,25.954465
1266,2020-08-30 07:04:29,2020-04-22 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,282,282,0,1,,179.28,10.172,194,0,16,,,,,,,,,,,,,,,,6,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,59.333859,25.954465
1293,2020-08-30 07:04:29,2020-04-23 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,282,282,0,1,,179.28,10.172,198,0,16,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,59.333859,25.954465
1320,2020-08-30 07:04:29,2020-04-24 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,284,284,0,1,,180.55,10.172,206,0,16,,,,,,,,,,,,,,,,2,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,59.767198,53.700268
1344,2020-08-30 07:04:29,2020-04-24 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,287,287,0,1,,182.45,10.807,215,0,17,,,,,,,,,,,,,,,,3,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,64.56271,27.689748
1367,2020-08-30 07:04:29,2020-04-25 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,293,293,0,1,,186.27,11.443,216,0,18,,,,,,,,,,,,,,,,6,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,57.982848,29.424746
1394,2020-08-30 07:04:29,2020-04-27 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,293,293,0,1,,186.27,11.443,216,0,18,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,90.570683,29.424746
1421,2020-08-30 07:04:29,2020-04-28 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,295,295,0,1,,187.54,12.715,223,0,20,,,,,,,,,,,,,,,,2,2,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,76.899662,15.531419
1448,2020-08-30 07:04:29,2020-04-29 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,295,295,0,1,,187.54,12.715,224,0,20,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,91.200893,15.531419
1475,2020-08-30 07:04:29,2020-04-30 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,302,302,0,1,,191.99,12.715,239,0,20,,,,,,,,,,,,,,,,7,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,68.029235,21.325121
1502,2020-08-30 07:04:29,2020-05-01 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,303,303,0,1,,192.63,13.35,242,0,21,,,,,,,,,,,,,,,,1,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,103.269238,22.482781
1526,2020-08-30 07:04:29,2020-05-01 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,304,304,0,1,,193.26,13.35,246,0,21,,,,,,,,,,,,,,,,1,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,94.036826,22.482781
1550,2020-08-30 07:04:29,2020-05-02 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,304,304,0,1,,193.26,13.35,248,0,21,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,115.32331,71.033495
1577,2020-08-30 07:04:29,2020-05-04 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,305,305,0,1,,193.9,13.35,248,0,21,,,,,,,,,,,,,,,,1,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,103.962449,71.033495
1604,2020-08-30 07:04:29,2020-05-05 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,305,305,0,1,,193.9,13.986,252,0,22,,,,,,,,,,,,,,,,0,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,350.614094,36.362704
1631,2020-08-30 07:04:29,2020-05-06 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,305,305,0,1,,193.9,14.622,258,0,23,,,,,,,,,,,,,,,,0,1,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,526.789957,38.096825
1657,2020-08-30 07:04:29,2020-05-07 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,305,305,0,1,,193.9,14.622,264,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1055.315634,38.096825
1683,2020-08-30 07:04:29,2020-05-08 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,305,305,0,1,,193.9,14.622,267,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1055.315634,38.096825
1706,2020-08-30 07:04:29,2020-05-08 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,306,306,0,1,,194.53,14.622,268,0,23,,,,,,,,,,,,,,,,1,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1058.781373,38.096825
1754,2020-08-30 07:04:29,2020-05-11 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,306,306,0,1,,194.53,14.622,272,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1058.781373,77.96622
1781,2020-08-30 07:04:29,2020-05-12 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,306,306,0,1,,194.53,14.622,277,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1058.781373,
1806,2020-08-30 07:04:29,2020-05-13 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,306,306,0,1,,194.53,14.622,277,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1058.781373,
1832,2020-08-30 07:04:29,2020-05-14 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,280,0,23,,,,,,,,,,,,,,,,1,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,530.255705,
1858,2020-08-30 07:04:29,2020-05-15 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,280,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1062.247112,
1878,2020-08-30 07:04:29,2020-05-15 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,281,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1062.247112,
1898,2020-08-30 07:04:29,2020-05-16 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,281,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1062.247112,
1924,2020-08-30 07:04:29,2020-05-18 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,281,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1062.247112,
1949,2020-08-30 07:04:29,2020-05-19 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,281,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
1976,2020-08-30 07:04:29,2020-05-20 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,282,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
1998,2020-08-30 07:04:29,2020-05-21 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,283,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2021,2020-08-30 07:04:29,2020-05-22 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2040,2020-08-30 07:04:29,2020-05-22 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2060,2020-08-30 07:04:29,2020-05-23 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2087,2020-08-30 07:04:29,2020-05-25 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2112,2020-08-30 07:04:29,2020-05-26 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2139,2020-08-30 07:04:29,2020-05-27 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2165,2020-08-30 07:04:29,2020-05-28 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2192,2020-08-30 07:04:29,2020-05-29 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2211,2020-08-30 07:04:29,2020-05-29 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2230,2020-08-30 07:04:29,2020-05-30 22:01:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2250,2020-08-30 07:04:29,2020-06-01 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2275,2020-08-30 07:04:29,2020-06-02 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2302,2020-08-30 07:04:29,2020-06-03 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2326,2020-08-30 07:04:29,2020-06-04 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2350,2020-08-30 07:04:29,2020-06-05 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2368,2020-08-30 07:04:29,2020-06-06 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2387,2020-08-30 07:04:29,2020-06-07 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2412,2020-08-30 07:04:29,2020-06-08 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2436,2020-08-30 07:04:29,2020-06-09 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2460,2020-08-30 07:04:29,2020-06-10 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,307,307,0,1,,195.17,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,,
2481,2020-08-30 07:04:29,2020-06-11 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,308,308,0,1,,195.8,14.622,284,0,23,,,,,,,,,,,,,,,,1,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1065.712851,
2503,2020-08-30 07:04:29,2020-06-12 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,308,308,0,1,,195.8,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1065.712851,
2522,2020-08-30 07:04:29,2020-06-13 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,308,308,0,1,,195.8,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1065.712851,
2543,2020-08-30 07:04:29,2020-06-14 08:00:00,10,SZ,Schwyz,05,47.061787,8.756585,308,308,0,1,,195.8,14.622,284,0,23,,,,,,,,,,,,,,,,0,0,https://www.sz.ch/public/upload/assets/48320/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx,1065.712851,
